======= BB REG =======
0x18f0 0x7f000064  0x1f7de75c  0x7f7f7f7f  0x7f7f7f7f 
0x1900 0xa7a7a7a7  0x95959595  0x00776778  0x77776666 
0x1910 0x00033333  0xaaac875a  0x2aa2a8a2  0x2aaaa8a2 
0x1920 0x00878766  0x000c4924  0x5669b6c0  0x00409190 
0x1930 0xb85c0492  0x00b4a298  0x00030151  0x0058c618 
0x1940 0xc1000000  0x00070bcb  0xaaaaaaaa  0x00b99999 
0x1950 0x88886665  0x08888888  0x00000618  0x00000000 
0x1960 0x00000000  0x00000000  0x00000000  0x00000000 
0x1970 0x00000000  0x00000000  0x00000000  0x00000000 
0x1980 0x00000000  0x00000000  0x00000000  0x00000000 
0x1990 0x00000000  0x00000000  0x00000000  0x00000000 
0x19a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x19b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x19c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x19d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x19e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x19f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1a00 0x00d047c8  0x81000008  0x88838300  0x2e20100f 
0x1a10 0x9500bb78  0x111443a8  0x00881117  0x89140f00 
0x1a20 0x52840000  0x3e18fec8  0x00150a88  0x12baa000 
0x1a30 0x02eb0800  0x02e93800  0x00000000  0x00000000 
0x1a40 0x00000000  0x00000000  0x00080000  0xb0000080 
0x1a50 0x96080000  0x1000e30b  0x00005881  0x00000000 
0x1a60 0xfefe0000  0x00000000  0x000000eb  0x00000015 
0x1a70 0x00008000  0x00000048  0x000089f0  0x225b0606 
0x1a80 0x208e7532  0x85200200  0x048c0000  0x00000000 
0x1a90 0x00000000  0x00000000  0xacc4c040  0x0006c8b2 
0x1aa0 0x00faf0de  0x00020000  0xba0f0004  0x00122344 
0x1ab0 0x0fffffff  0x0f201402  0x00000000  0x82008080 
0x1ac0 0x54d0a742  0x00000000  0x00000807  0x00000707 
0x1ad0 0xa33529f0  0x0d8d8452  0x08024024  0x000d0001 
0x1ae0 0x00600391  0x08100090  0xc2100002  0x000000f6 
0x1af0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1b00 0x0000000a  0xe2462892  0x00000000  0x00000c00 
0x1b10 0x00010c00  0x40000000  0x00292901  0xa218fc32 
0x1b20 0x210401e8  0x00060008  0x00060300  0x00180018 
0x1b30 0x40000000  0x00000800  0x40000000  0x40000000 
0x1b40 0x40000000  0x20002064  0x0005802d  0x00000000 
0x1b50 0x00000000  0x00000000  0x62010000  0x0037003a 
0x1b60 0x1f040000  0x00000000  0x00000000  0x00000000 
0x1b70 0x00000000  0x00000000  0x030b0300  0x00000000 
0x1b80 0x00000004  0x00000000  0x00000000  0x00000000 
0x1b90 0x00000000  0x00000000  0x000a4034  0x00000088 
0x1ba0 0x00000000  0x00000000  0x00010000  0x00000000 
0x1bb0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1bc0 0x01000000  0x00000000  0x00000000  0x00000000 
0x1bd0 0x00000000  0x00000001  0x00000070  0x00000000 
0x1be0 0x00000000  0x00000000  0x00000000  0x40000000 
0x1bf0 0x40000000  0x00000000  0x00000000  0x82000000 
0x1c00 0x00000000  0x00000000  0x00000000  0x00000000 
0x1c10 0x00000000  0x00000000  0x00000000  0x00000000 
0x1c20 0x03c23f00  0xf101f002  0x0ffe0010  0x453090ff 
0x1c30 0xfe0090fe  0xe4e42000  0xffa1005e  0x01051f43 
0x1c40 0x8f588837  0x04400700  0x00000000  0x00000200 
0x1c50 0x8e588837  0x04400300  0x00000000  0xffffffff 
0x1c60 0x0f030032  0x360f0008  0x007f0000  0x00010000 
0x1c70 0x00037ffe  0x00000000  0x00020000  0x00310000 
0x1c80 0x2238e000  0x245120d4  0xc8400483  0x40005a20 
0x1c90 0x00e41708  0x00000ba8  0x00044400  0x00000000 
0x1ca0 0x00000000  0x20000000  0x0e000000  0xe424a2cc 
0x1cb0 0x00000000  0x00000000  0x24800000  0x60004800 
0x1cc0 0x24800000  0x60004800  0xf0444900  0x030300f1 
0x1cd0 0x7f000000  0x02024b00  0x04000000  0x10000000 
0x1ce0 0x60000000  0x00000000  0xc0000000  0x00000000 
0x1cf0 0x00000000  0xe4000000  0x00000000  0x00000000 
0x1d00 0x00000000  0x08a3c000  0xa0000000  0x00410000 
0x1d10 0x08b5bbbb  0x77777777  0x99999999  0x99999999 
0x1d20 0x000081e0  0x00000000  0x00000000  0xc0000000 
0x1d30 0x50209d00  0x00000000  0x00000000  0xf8000000 
0x1d40 0x00000000  0x74740000  0x14147474  0x00ffff14 
0x1d50 0x00000000  0x03a00000  0x80800000  0x00000000 
0x1d60 0x00000000  0x88000000  0x00000000  0x666d8001 
0x1d70 0x20201c1c  0x4e4e4e4e  0x18189818  0x0005a000 
0x1d80 0x00080000  0x00080000  0x000000ef  0x0c0c0c0c 
0x1d90 0x327f0045  0x4038000a  0x00000000  0x00000000 
0x1da0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1db0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1dc0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1dd0 0x00000000  0x00000000  0x00000000  0x1fdf0000 
0x1de0 0x01010000  0x05210123  0xffff4848  0x00000000 
0x1df0 0x00000000  0x80000002  0x00000000  0x00000000 
0x1e00 0x00000000  0x00000000  0x00000000  0x00000000 
0x1e10 0x00000000  0x00000000  0x00000000  0x00000000 
0x1e20 0x00000000  0x80023000  0x000cc0c3  0xe4e40400 
0x1e30 0xe4e4e4e4  0xf3001234  0x00000000  0x00000000 
0x1e40 0xfffeffff  0x2824201c  0x3834302c  0x00000000 
0x1e50 0x2824201c  0x3834302c  0xfe44403c  0xc53c00ff 
0x1e60 0x4440412f  0xf3a00001  0x0028846e  0x40274906 
0x1e70 0x00001000  0x00000000  0x00000000  0x00000000 
0x1e80 0x55005500  0x00000000  0x0200fc1c  0x00000000 
0x1e90 0x00000000  0x04000000  0x00000000  0x00000000 
0x1ea0 0x00000000  0x00000000  0xaa464646  0x01800030 
0x1eb0 0x00003002  0x31800002  0x00000b00  0x00000000 
0x1ec0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1ed0 0x00000000  0x800c0040  0x8005000c  0x80020005 
0x1ee0 0x80000002  0xf0000000  0x00000000  0x0280a933 
0x1ef0 0x30000a80  0x40001266  0x3b000100  0x00000000 
0x1f00 0x00000000  0x00000000  0x00000000  0x00000000 
0x1f10 0x00000000  0x00000000  0x00000000  0x00000000 
0x1f20 0x00000000  0x00000000  0x00000000  0x00000000 
