======= MAC REG =======
0x1200 0x18780030  0x0011f000  0x21000730  0x00000000 
0x1210 0x00000000  0x00000000  0x00000000  0x00000000 
0x1220 0x00000000  0x00000000  0x00000000  0x00000000 
0x1230 0x00000000  0x00000000  0x00000000  0x00000000 
0x1240 0x00000000  0x00000000  0x00000000  0x00000000 
0x1250 0x00000000  0x00000000  0x00000000  0x00000000 
0x1260 0x00000000  0x00000000  0x00000000  0x00000000 
0x1270 0x00000000  0x00000000  0x00000000  0x00000000 
0x1280 0x00000000  0x00000000  0x00000000  0x00000000 
0x1290 0x00000000  0x00000000  0x00000000  0x00000000 
0x12a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x12b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x12c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x12d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x12e0 0x0000003f  0x00000000  0x00000000  0x00000000 
0x12f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1300 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1310 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1320 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1330 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1340 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1350 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1360 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1370 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1380 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1390 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13a0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13b0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13c0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13d0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13e0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x13f0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1400 0x00000000  0x00000000  0x00000000  0x00000000 
0x1410 0x00000000  0x00000000  0x00000000  0x00000000 
0x1420 0x01000000  0x00000000  0x1fffffff  0x1fffffff 
0x1430 0x00000300  0x00000000  0x00000000  0x00000000 
0x1440 0x00000000  0x00000000  0x08060806  0x08060806 
0x1450 0x00000000  0x00000000  0x00000000  0x00000000 
0x1460 0x00000000  0x00000000  0x00000000  0x00000000 
0x1470 0x10000000  0x00000000  0x10000000  0x00000000 
0x1480 0x00000140  0x813780f3  0x00000000  0x010000f8 
0x1490 0x010000f8  0x00000000  0x000000f8  0x00000000 
0x14a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x14b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x14c0 0x0001a000  0x00000000  0x00000000  0x00000000 
0x14d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x14e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x14f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1500 0x00000000  0x00000000  0x00000000  0x00000000 
0x1510 0x05050505  0x00000000  0x00003224  0x00000000 
0x1520 0x00000000  0x00000000  0x00000000  0x00000000 
0x1530 0x00000000  0x00000000  0x00000000  0x00000000 
0x1540 0x00000000  0x00000000  0x00000000  0x00000000 
0x1550 0x00000000  0x00000000  0x00000000  0x00000000 
0x1560 0x00000000  0x00000000  0x00000000  0x000000ff 
0x1570 0x000000ff  0x000000ff  0x00000000  0x00000000 
0x1580 0x00000000  0x00000000  0x00000000  0x00000000 
0x1590 0x00000000  0x00000000  0x00000000  0x00000000 
0x15a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x15b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x15c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x15d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x15e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x15f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1600 0x00000000  0x00000000  0x00000000  0xffffffff 
0x1610 0x055e3f87  0xffffffff  0x00000000  0x00000008 
0x1620 0x00000000  0x00000000  0x00000000  0x00000000 
0x1630 0x00000000  0x00000000  0x00000000  0x00000000 
0x1640 0x00000000  0x00000000  0x00000000  0x00000000 
0x1650 0x00000000  0x00000000  0x00000000  0x00000000 
0x1660 0x00000000  0x00000700  0x00000000  0x00000000 
0x1670 0x00000000  0x00000000  0x02a2b123  0x002a0470 
0x1680 0x00000000  0x00000000  0x00000000  0x00000000 
0x1690 0x00000005  0x02020709  0x00000000  0x0f1607ce 
0x16a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x16b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x16c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x16d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x16e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x16f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1700 0x600f0038  0x00007700  0x0000dd03  0x00000000 
0x1710 0x00005fdb  0x00000000  0x00000000  0x00000000 
0x1720 0x00000000  0x00000000  0x00000000  0x00000000 
0x1730 0x00000000  0x00000000  0x00000000  0x00000000 
0x1740 0x00000000  0x00000000  0x00000000  0x00000000 
0x1750 0x00000000  0x00000000  0x00000000  0x00000000 
0x1760 0x00000000  0x00000000  0x00000000  0x00000000 
0x1770 0x00000000  0x00000000  0x00000000  0x00000000 
0x1780 0x00000000  0x00000000  0x00000000  0x00000000 
0x1790 0x00000000  0x00000000  0x00000000  0x00000000 
0x17a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x17b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x17c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x17d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x17e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x17f0 0x00000000  0x00000000  0x00000000  0x00000000 
