[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[10803.810232] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10809.045427] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10809.070103] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10814.293659] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10814.314836] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10819.546268] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10819.562106] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10824.637216] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10824.658316] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10829.793615] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10829.826650] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10835.050076] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10835.066765] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10840.293597] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10840.310037] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10845.562124] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10845.578675] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10850.797634] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10850.814229] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10856.058046] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10856.082252] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10861.289769] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10861.310220] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
